,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
79,BNYB083,"330 Gilmour Ave, Toronto, ON M6P 1W5",2017-10-17 00:00:00,43.66653,-79.47964,2017-10-17 08:20:00,BNYB083,"212 Maria St, Toronto, ON M6P 1W4",2017-10-17 08:35:00,43.66649,-79.47965,2017-10-17 14:17:00
80,BNYB083,"212 Maria St, Toronto, ON M6P 1W4",2017-10-17 08:35:00,43.66649,-79.47965,2017-10-17 14:17:00,BNYB083,"38 Major St, Toronto, ON M5S 2L1",2017-10-17 15:17:00,43.65915,-79.40356,2017-10-17 16:48:00
81,BNYB083,"38 Major St, Toronto, ON M5S 2L1",2017-10-17 15:17:00,43.65915,-79.40356,2017-10-17 16:48:00,BNYB083,"22-24 Rusholme Rd, Toronto, ON M6J 3H4",2017-10-17 17:23:00,43.65044,-79.42715,2017-10-17 17:43:00
82,BNYB083,"22-24 Rusholme Rd, Toronto, ON M6J 3H4",2017-10-17 17:23:00,43.65044,-79.42715,2017-10-17 17:43:00,BNYB083,"110 Bellevue Ave, Toronto, ON M5T 2N9",2017-10-17 18:03:00,43.65646,-79.40424,2017-10-17 23:57:00
84,BNYB085,"16 Harwood Rd, Toronto, ON M4S",2017-10-17 00:00:00,43.7024,-79.38527,2017-10-17 06:09:00,BNYB085,Green P-121 St Patrick St(No Double Parking),2017-10-17 06:29:00,43.65369,-79.38936,2017-10-17 17:13:00
85,BNYB085,Green P-121 St Patrick St(No Double Parking),2017-10-17 06:29:00,43.65369,-79.38936,2017-10-17 17:13:00,BNYB085,"504 Lansdowne Ave, Toronto, ON M6H 3Y3",2017-10-17 18:28:00,43.65768,-79.44266,2017-10-17 18:38:00
86,BNYB085,"504 Lansdowne Ave, Toronto, ON M6H 3Y3",2017-10-17 18:28:00,43.65768,-79.44266,2017-10-17 18:38:00,BNYB085,"286 Ossington Ave, Toronto, ON M6J 3A3",2017-10-17 19:14:00,43.65056,-79.42129,2017-10-17 22:21:00
87,BNYB085,"286 Ossington Ave, Toronto, ON M6J 3A3",2017-10-17 19:14:00,43.65056,-79.42129,2017-10-17 22:21:00,BNYB085,"300-312 St Helens Ave, Toronto, ON M6H 1P3",2017-10-17 23:12:00,43.65729,-79.44376,2017-10-17 23:27:00
89,BNYB088,"478 Montrose Ave, Toronto, ON M6G 3H1",2017-10-17 00:00:00,43.66234,-79.4207,2017-10-17 14:37:00,BNYB088,"160 Frederick St, Toronto, ON M5A 1E2",2017-10-17 17:03:00,43.65031,-79.36905,2017-10-17 17:03:00
90,BNYB088,"160 Frederick St, Toronto, ON M5A 1E2",2017-10-17 17:03:00,43.65031,-79.36905,2017-10-17 17:03:00,BNYB088,Green P-15 Wellesley St. e(No Double Parking),2017-10-17 17:28:00,43.66484,-79.38359,2017-10-17 18:03:00
