TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow,Total Seconds Available,Availability ,Designated Car2goSpots,Trip Demand
268,2460,37.6,89856,0.073328174,0.692543865,1.262874107,467492,68.25996174,,41
269,6995,39.57680181,71526.58084,0.537739942,0.073328174,3.837507771,3252691,474.9355352,,166
270,7585,39.18994426,87848.26943,0.391083595,2.191697644,3.153111481,1016170,148.374144,,147
271,6990,39.4,69120,0.293312696,0.423673894,4.114525317,1209894,176.6603881,,122
272,4920,39.5,105472,0.480706918,0,2.599076389,371513,54.24576927,,24
273,4590,37.5,53453,0.325902995,0.765872039,1.939122823,700314,102.2550265,,45
274,3140,39.2,84941,0.480706918,0,1.572481953,1222083,178.4401419,,84
275,1579.004557,42.4,61120,0.15247476,0.209652795,0.797315932,144375,21.08064304,,9
276,2470.995443,42.4,61120,0.238608835,0.328087148,1.247725364,443296,64.72702849,,48
277,3480,40,97536,0.554035092,0,1.727285876,148094,21.62366581,,22
278,3510,42.7,70571,0.293312696,1.140660484,1.344349856,163065,23.8096281,,16
279,3995,41.5,63616,0.480706918,1.409530455,1.507301354,2464621,359.8669821,93,89
280,3810,41,95744,0.545887517,0.097770899,1.80061405,277117,40.46271555,,35
281,8880,41.72141585,58144.17091,1.833204349,2.183550069,2.427977316,785153,114.6426329,,46
282,11500,42.95714812,55779.02453,1.385087731,5.418137299,2.436124891,1096077,160.0416137,3,57
283,1633.625733,40.4,138069,0.661370832,0.055114236,0.297616874,1665462,243.1792895,6,69
284,781.3742674,40.4,138069,0.316338154,0.026361513,0.142352169,206407,30.1381284,,12
