FID,OID_,FID_,Lat,Long,Lat1,Long1,Shape_Leng,FID_1,VIN,Address,Date,DateD,DateH,Lat_1,Long_1,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1_1,Long1_1,t21,t21D,t21H
961,0,962,43.646590000000003,-79.385109999999997,43.678199999999997,-79.288539999999998,11799.360199900000000,962,BNYB159,On street-18 Emily St(extra parking in garage),10/17/2017 9:58,17,9,43.646590000000003,-79.385109999999997,10/17/2017 15:37,17,15,BNYB159,"270 Willow Ave, Toronto, ON M4E 3K7",10/17/2017 16:17,17,16,43.678199999999997,-79.288539999999998,10/17/2017 16:43,17,16
962,0,963,43.678199999999997,-79.288539999999998,43.677509999999998,-79.288229999999999,111.670007932000000,963,BNYB159,"270 Willow Ave, Toronto, ON M4E 3K7",10/17/2017 16:17,17,16,43.678199999999997,-79.288539999999998,10/17/2017 16:43,17,16,BNYB159,"242 Willow Ave, Toronto, ON M4E 3K7",10/17/2017 17:18,17,17,43.677509999999998,-79.288229999999999,10/17/2017 23:57,17,23
963,0,964,43.684860000000000,-79.316400000000002,43.683619999999998,-79.315719999999999,205.341695913000000,964,BNYB160,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/17/2017 0:00,17,0,43.684860000000000,-79.316400000000002,10/17/2017 7:24,17,7,BNYB160,"78 W Lynn Ave, Toronto, ON M4C 3W2",10/17/2017 7:29,17,7,43.683619999999998,-79.315719999999999,10/17/2017 17:23,17,17
964,0,965,43.683619999999998,-79.315719999999999,43.664090000000002,-79.326449999999994,3234.469621239999900,965,BNYB160,"78 W Lynn Ave, Toronto, ON M4C 3W2",10/17/2017 7:29,17,7,43.683619999999998,-79.315719999999999,10/17/2017 17:23,17,17,BNYB160,"1339-1341 Queen St E, Toronto, ON M4L 1C6",10/17/2017 18:23,17,18,43.664090000000002,-79.326449999999994,10/17/2017 19:39,17,19
965,0,966,43.664090000000002,-79.326449999999994,43.666110000000003,-79.317400000000006,1054.308353500000100,966,BNYB160,"1339-1341 Queen St E, Toronto, ON M4L 1C6",10/17/2017 18:23,17,18,43.664090000000002,-79.326449999999994,10/17/2017 19:39,17,19,BNYB160,"1591 Queen St E, Toronto, ON M4L 1E5",10/17/2017 20:30,17,20,43.666110000000003,-79.317400000000006,10/17/2017 23:57,17,23
966,0,967,43.677259999999997,-79.281480000000002,43.694609999999997,-79.397270000000006,13163.489008700000000,967,BNYB163,"78-80 Victoria Park Ave, Scarborough, ON M4E 3R9",10/17/2017 0:00,17,0,43.677259999999997,-79.281480000000002,10/17/2017 20:10,17,20,BNYB163,"15 Gormley Ave, Toronto, ON M4V 1Y9",10/17/2017 21:56,17,21,43.694609999999997,-79.397270000000006,10/17/2017 23:57,17,23
967,0,968,43.646599999999999,-79.394769999999994,43.688670000000002,-79.400599999999997,6506.717968609999800,968,BNYB167,Green P-363 Adelaide St W(no double parking),10/17/2017 0:00,17,0,43.646599999999999,-79.394769999999994,10/17/2017 7:55,17,7,BNYB167,"50 Oriole Rd, Toronto, ON M4V 2E8",10/17/2017 8:30,17,8,43.688670000000002,-79.400599999999997,10/17/2017 12:21,17,12
968,0,969,43.688670000000002,-79.400599999999997,43.651130000000002,-79.412899999999993,5937.391384630000200,969,BNYB167,"50 Oriole Rd, Toronto, ON M4V 2E8",10/17/2017 8:30,17,8,43.688670000000002,-79.400599999999997,10/17/2017 12:21,17,12,BNYB167,"184 Bellwoods Ave, Toronto, ON M6J 2P9",10/17/2017 12:46,17,12,43.651130000000002,-79.412899999999993,10/17/2017 15:07,17,15
969,0,970,43.651130000000002,-79.412899999999993,43.671700000000001,-79.403260000000003,3342.211354879999800,970,BNYB167,"184 Bellwoods Ave, Toronto, ON M6J 2P9",10/17/2017 12:46,17,12,43.651130000000002,-79.412899999999993,10/17/2017 15:07,17,15,BNYB167,"563 Huron St, Toronto, ON M5R 2R6",10/17/2017 15:42,17,15,43.671700000000001,-79.403260000000003,10/17/2017 15:52,17,15
970,0,971,43.671700000000001,-79.403260000000003,43.646439999999998,-79.396670000000000,3955.402116430000200,971,BNYB167,"563 Huron St, Toronto, ON M5R 2R6",10/17/2017 15:42,17,15,43.671700000000001,-79.403260000000003,10/17/2017 15:52,17,15,BNYB167,"23 Brant St, Toronto, ON M5V 2L5",10/17/2017 16:33,17,16,43.646439999999998,-79.396670000000000,10/17/2017 16:38,17,16
