FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
384,BPXL720,"9 Mountview Ave, Toronto, ON M6P 2L5",10/15/2017 8:06,15,8,43.65473,-79.4611,10/15/2017 9:12,15,9,BPXL720,"14 High Park Blvd, Toronto, ON M6R 1M4",10/15/2017 9:52,15,9,43.64608,-79.45064,10/15/2017 9:57,15,9
385,BPXL720,"14 High Park Blvd, Toronto, ON M6R 1M4",10/15/2017 9:52,15,9,43.64608,-79.45064,10/15/2017 9:57,15,9,BPXL720,"92 Bellefair Ave, Toronto, ON M4L 3T8",10/15/2017 10:32,15,10,43.67349,-79.30129,10/15/2017 10:57,15,10
386,BPXL720,"92 Bellefair Ave, Toronto, ON M4L 3T8",10/15/2017 10:32,15,10,43.67349,-79.30129,10/15/2017 10:57,15,10,BPXL720,"17 Avion Ave, Toronto, ON M4E 1C2",10/15/2017 12:54,15,12,43.67116,-79.29105,10/15/2017 13:09,15,13
387,BPXL720,"17 Avion Ave, Toronto, ON M4E 1C2",10/15/2017 12:54,15,12,43.67116,-79.29105,10/15/2017 13:09,15,13,BPXL720,"144 Stephenson Ave, Toronto, ON M4C 1G4",10/15/2017 13:34,15,13,43.68698,-79.3023,10/15/2017 14:19,15,14
388,BPXL720,"144 Stephenson Ave, Toronto, ON M4C 1G4",10/15/2017 13:34,15,13,43.68698,-79.3023,10/15/2017 14:19,15,14,BPXL720,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 15:25,15,15,43.64599,-79.39985,10/15/2017 15:50,15,15
389,BPXL720,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 15:25,15,15,43.64599,-79.39985,10/15/2017 15:50,15,15,BPXL720,"212 Indian Grove, Toronto, ON M6P 2H2",10/15/2017 16:20,15,16,43.65734,-79.45982,10/15/2017 18:30,15,18
390,BPXL721,"1290 Queen St E, Toronto, ON M4L 1C4",10/15/2017 0:01,15,0,43.66364,-79.32851,10/15/2017 9:52,15,9,BPXL721,"14 Alton Ave, Toronto, ON M4L 2M2",10/15/2017 9:57,15,9,43.66435,-79.3281,10/15/2017 10:32,15,10
391,BPXL721,"14 Alton Ave, Toronto, ON M4L 2M2",10/15/2017 9:57,15,9,43.66435,-79.3281,10/15/2017 10:32,15,10,BPXL721,"299 Monarch Park Ave, East York, ON M4J 4T2",10/15/2017 10:57,15,10,43.6889,-79.32995,10/15/2017 18:30,15,18
392,BPXL722,"47 Alvin Ave, Toronto, ON M4T 2A8",10/15/2017 0:01,15,0,43.6905,-79.3933,10/15/2017 9:27,15,9,BPXL722,"211-213 Brunswick Ave, Toronto, ON M5S 2M4",10/15/2017 10:02,15,10,43.66351,-79.40649,10/15/2017 11:07,15,11
393,BPXL722,"211-213 Brunswick Ave, Toronto, ON M5S 2M4",10/15/2017 10:02,15,10,43.66351,-79.40649,10/15/2017 11:07,15,11,BPXL722,"David French Ln, Toronto, ON M5S",10/15/2017 12:33,15,12,43.66453,-79.40751,10/15/2017 13:09,15,13
394,BPXL722,"David French Ln, Toronto, ON M5S",10/15/2017 12:33,15,12,43.66453,-79.40751,10/15/2017 13:09,15,13,BPXL722,"Bagpipe Lane, Toronto, ON M5S 1Y4",10/15/2017 13:49,15,13,43.66504,-79.40921,10/15/2017 18:30,15,18
395,BPXL723,Green P-363 Adelaide St W(no double parking),10/15/2017 0:01,15,0,43.6466,-79.39477,10/15/2017 7:06,15,7,BPXL723,"507 Main St, East York, ON M4C 4Y3",10/15/2017 7:36,15,7,43.69565,-79.30508,10/15/2017 9:22,15,9
396,BPXL723,"507 Main St, East York, ON M4C 4Y3",10/15/2017 7:36,15,7,43.69565,-79.30508,10/15/2017 9:22,15,9,BPXL723,"207 Pickering St, Toronto, ON M4E 3J9",10/15/2017 9:42,15,9,43.68488,-79.29178,10/15/2017 10:52,15,10
397,BPXL723,"207 Pickering St, Toronto, ON M4E 3J9",10/15/2017 9:42,15,9,43.68488,-79.29178,10/15/2017 10:52,15,10,BPXL723,"20 Brookmount Rd, Toronto, ON M4L 3N1",10/15/2017 11:37,15,11,43.66903,-79.30844,10/15/2017 12:44,15,12
398,BPXL723,"20 Brookmount Rd, Toronto, ON M4L 3N1",10/15/2017 11:37,15,11,43.66903,-79.30844,10/15/2017 12:44,15,12,BPXL723,"157 Hannaford St, Toronto, ON M4E 3G9",10/15/2017 12:59,15,12,43.68498,-79.29323,10/15/2017 14:54,15,14
399,BPXL723,"157 Hannaford St, Toronto, ON M4E 3G9",10/15/2017 12:59,15,12,43.68498,-79.29323,10/15/2017 14:54,15,14,BPXL723,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 15:25,15,15,43.65218,-79.37617,10/15/2017 17:49,15,17
400,BPXL723,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 15:25,15,15,43.65218,-79.37617,10/15/2017 17:49,15,17,BPXL723,"6 Natalie Pl, Toronto, ON M4M 3P7",10/15/2017 18:05,15,18,43.66221,-79.34231,10/15/2017 18:20,15,18
401,BPXL725,"1717 Dundas St E, Toronto, ON M4L 1L7",10/15/2017 0:01,15,0,43.66763,-79.32501,10/15/2017 14:39,15,14,BPXL725,"16 Heydon Park Rd, Toronto, ON M6J 2C8",10/15/2017 15:45,15,15,43.6522,-79.42683,10/15/2017 15:50,15,15
402,BPXL726,Targetpark-539 King St W (1 Spot),10/15/2017 0:01,15,0,43.64446,-79.39813,10/15/2017 1:42,15,1,BPXL726,"351 Keele St, Toronto, ON M6P 2K6",10/15/2017 2:17,15,2,43.66477,-79.46406,10/15/2017 8:11,15,8
403,BPXL726,"351 Keele St, Toronto, ON M6P 2K6",10/15/2017 2:17,15,2,43.66477,-79.46406,10/15/2017 8:11,15,8,BPXL726,"16-18 High Park Gardens, Toronto, ON M6R 1S9",10/15/2017 8:57,15,8,43.64906,-79.45629,10/15/2017 12:44,15,12
404,BPXL726,"16-18 High Park Gardens, Toronto, ON M6R 1S9",10/15/2017 8:57,15,8,43.64906,-79.45629,10/15/2017 12:44,15,12,BPXL726,"48 Fern Ave, Toronto, ON M6R 1K1",10/15/2017 13:19,15,13,43.64584,-79.44215,10/15/2017 13:29,15,13
405,BPXL726,"48 Fern Ave, Toronto, ON M6R 1K1",10/15/2017 13:19,15,13,43.64584,-79.44215,10/15/2017 13:29,15,13,BPXL726,"1325 Queen St W, Toronto, ON M6K 1L8",10/15/2017 15:14,15,15,43.64105,-79.43356,10/15/2017 15:35,15,15
406,BPXL726,"1325 Queen St W, Toronto, ON M6K 1L8",10/15/2017 15:14,15,15,43.64105,-79.43356,10/15/2017 15:35,15,15,BPXL726,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 16:05,15,16,43.64599,-79.39985,10/15/2017 16:10,15,16
407,BPXL729,"1625-1661 Danforth Ave, Toronto, ON M4C 1H7",10/15/2017 0:01,15,0,43.68362,-79.32214,10/15/2017 8:42,15,8,BPXL729,"14 Woodington Ave, Toronto, ON M4C 3J2",10/15/2017 8:52,15,8,43.6844,-79.32114,10/15/2017 9:12,15,9
408,BPXL729,"14 Woodington Ave, Toronto, ON M4C 3J2",10/15/2017 8:52,15,8,43.6844,-79.32114,10/15/2017 9:12,15,9,BPXL729,"665 Gerrard St E, Toronto, ON M4M 1Y2",10/15/2017 9:37,15,9,43.66596,-79.34991,10/15/2017 9:57,15,9
409,BPXL729,"665 Gerrard St E, Toronto, ON M4M 1Y2",10/15/2017 9:37,15,9,43.66596,-79.34991,10/15/2017 9:57,15,9,BPXL729,"45 Victor Ave, Toronto, ON M4K 1A7",10/15/2017 12:13,15,12,43.66748,-79.35071,10/15/2017 13:24,15,13
410,BPXL729,"45 Victor Ave, Toronto, ON M4K 1A7",10/15/2017 12:13,15,12,43.66748,-79.35071,10/15/2017 13:24,15,13,BPXL729,"464 Montrose Ave, Toronto, ON M6G 3H1",10/15/2017 14:14,15,14,43.66207,-79.42057,10/15/2017 15:40,15,15
411,BPXL729,"464 Montrose Ave, Toronto, ON M6G 3H1",10/15/2017 14:14,15,14,43.66207,-79.42057,10/15/2017 15:40,15,15,BPXL729,"10-18 Wolseley St, Toronto, ON M5T",10/15/2017 16:20,15,16,43.64866,-79.40134,10/15/2017 17:02,15,17
412,BPXL729,"10-18 Wolseley St, Toronto, ON M5T",10/15/2017 16:20,15,16,43.64866,-79.40134,10/15/2017 17:02,15,17,BPXL729,"212-214 Palmerston Ave, Toronto, ON M6J 2J4",10/15/2017 18:20,15,18,43.65333,-79.4091,10/15/2017 18:30,15,18
413,BPXL730,"1858 Bloor St W, Toronto, ON M6P 3K7",10/15/2017 0:01,15,0,43.65391,-79.46395,10/15/2017 8:16,15,8,BPXL730,"65-77 High Park Ave, Toronto, ON M6P",10/15/2017 8:21,15,8,43.65632,-79.46642,10/15/2017 14:29,15,14
414,BPXL730,"65-77 High Park Ave, Toronto, ON M6P",10/15/2017 8:21,15,8,43.65632,-79.46642,10/15/2017 14:29,15,14,BPXL730,"145 Perth Ave, Toronto, ON M6P 3X2",10/15/2017 14:54,15,14,43.65866,-79.44956,10/15/2017 16:20,15,16
415,BPXL730,"145 Perth Ave, Toronto, ON M6P 3X2",10/15/2017 14:54,15,14,43.65866,-79.44956,10/15/2017 16:20,15,16,BPXL730,"27 Armstrong Ave, Toronto, ON M6H 1V9",10/15/2017 16:40,15,16,43.66436,-79.43898,10/15/2017 18:15,15,18
416,BPXL731,"191-193 Rexleigh Dr, East York, ON M4B 2N7",10/15/2017 0:01,15,0,43.70404,-79.30527,10/15/2017 6:00,15,6,BPXL731,"122 Glencrest Blvd, East York, ON M4B 1L8",10/15/2017 6:15,15,6,43.70808,-79.29634,10/15/2017 18:30,15,18
417,BPXL733,"97 Raglan Ave, York, ON M6C 2K7",10/15/2017 0:01,15,0,43.68584,-79.4207,10/15/2017 1:17,15,1,BPXL733,"196 Winnett Ave, York, ON M6C 3L9",10/15/2017 1:37,15,1,43.68934,-79.43336,10/15/2017 18:30,15,18
418,BPXL734,Unit Park-73 The Esplanade(surface lot),10/15/2017 0:01,15,0,43.64703,-79.3733,10/15/2017 3:28,15,3,BPXL734,"170-240 Eastern Ave Diversion, Toronto, ON M5A",10/15/2017 4:03,15,4,43.65481,-79.35513,10/15/2017 7:06,15,7
419,BPXL734,"170-240 Eastern Ave Diversion, Toronto, ON M5A",10/15/2017 4:03,15,4,43.65481,-79.35513,10/15/2017 7:06,15,7,BPXL734,On street-18 Emily St(extra parking in garage),10/15/2017 7:46,15,7,43.64659,-79.38511,10/15/2017 15:55,15,15
420,BPXL734,On street-18 Emily St(extra parking in garage),10/15/2017 7:46,15,7,43.64659,-79.38511,10/15/2017 15:55,15,15,BPXL734,"Green P-31 Parliament St(surface lot, not garage)",10/15/2017 16:35,15,16,43.64955,-79.36169,10/15/2017 18:30,15,18
421,BPXL735,"391 Sherbourne St, Toronto, ON M4X 1K4",10/15/2017 0:01,15,0,43.66435,-79.37337,10/15/2017 13:29,15,13,BPXL735,"10 Benvenuto Pl, Toronto, ON M4V 1H2",10/15/2017 14:04,15,14,43.68219,-79.40051,10/15/2017 18:30,15,18
422,BPXL737,Starlight -155 Wellesley St E (rsvd spaces only),10/15/2017 8:16,15,8,43.66604,-79.37547,10/15/2017 9:22,15,9,BPXL737,"65-67 Lakeview Ave, Toronto, ON M6J 3B4",10/15/2017 10:22,15,10,43.65143,-79.42351,10/15/2017 11:37,15,11
423,BPXL737,"65-67 Lakeview Ave, Toronto, ON M6J 3B4",10/15/2017 10:22,15,10,43.65143,-79.42351,10/15/2017 11:37,15,11,BPXL737,"466 Dovercourt Rd, Toronto, ON M6H 2W4",10/15/2017 15:40,15,15,43.65392,-79.42677,10/15/2017 15:40,15,15
424,BPXL737,"466 Dovercourt Rd, Toronto, ON M6H 2W4",10/15/2017 15:40,15,15,43.65392,-79.42677,10/15/2017 15:40,15,15,BPXL737,"670 Pape Ave, Toronto, ON M4K 3S5",10/15/2017 16:25,15,16,43.6781,-79.34478,10/15/2017 16:57,15,16
425,BPXL737,"670 Pape Ave, Toronto, ON M4K 3S5",10/15/2017 16:25,15,16,43.6781,-79.34478,10/15/2017 16:57,15,16,BPXL737,Green P-25 Dundas St E(no double parking),10/15/2017 17:39,15,17,43.656,-79.37993,10/15/2017 18:30,15,18
426,BPXL738,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 0:01,15,0,43.64599,-79.39985,10/15/2017 1:27,15,1,BPXL738,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 2:02,15,2,43.68484,-79.31645,10/15/2017 8:26,15,8
427,BPXL738,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 2:02,15,2,43.68484,-79.31645,10/15/2017 8:26,15,8,BPXL738,"23 Murdock Ave, Toronto, ON M4C 1E3",10/15/2017 8:36,15,8,43.68312,-79.31589,10/15/2017 9:52,15,9
428,BPXL738,"23 Murdock Ave, Toronto, ON M4C 1E3",10/15/2017 8:36,15,8,43.68312,-79.31589,10/15/2017 9:52,15,9,BPXL738,"49 W Lynn Ave, Toronto, ON M4C 3V9",10/15/2017 11:07,15,11,43.68279,-79.3156,10/15/2017 18:15,15,18
429,BPXL738,"49 W Lynn Ave, Toronto, ON M4C 3V9",10/15/2017 11:07,15,11,43.68279,-79.3156,10/15/2017 18:15,15,18,BPXL738,"1169 Danforth Ave, Toronto, ON M4J 4B3",10/15/2017 18:30,15,18,43.68124,-79.33312,10/15/2017 18:30,15,18
430,BPXL741,"33 Queen St E, Toronto, ON M5C 1R5",10/15/2017 0:01,15,0,43.65259,-79.37731,10/15/2017 12:03,15,12,BPXL741,"190 Dunn Ave, Toronto, ON M6K 2R9",10/15/2017 12:49,15,12,43.63838,-79.43356,10/15/2017 16:46,15,16
431,BPXL741,"190 Dunn Ave, Toronto, ON M6K 2R9",10/15/2017 12:49,15,12,43.63838,-79.43356,10/15/2017 16:46,15,16,BPXL741,"761 A Dundas St W, Toronto, ON M6J 1T9",10/15/2017 18:20,15,18,43.65209,-79.40668,10/15/2017 18:30,15,18
432,BPXL742,"1604 Queen St W, Toronto, ON M6R 1A8",10/15/2017 0:01,15,0,43.63966,-79.44162,10/15/2017 8:11,15,8,BPXL742,Four Points by Sheraton-American Drive ($7.50 fee),10/15/2017 9:22,15,9,43.69046,-79.62055,10/15/2017 18:30,15,18
433,BPXL744,"44-50 Farnham Ave, Toronto, ON M4V 1H4",10/15/2017 0:01,15,0,43.68454,-79.39518,10/15/2017 9:47,15,9,BPXL744,"57 Rainsford Rd, Toronto, ON M4L 3N7",10/15/2017 11:02,15,11,43.67098,-79.30789,10/15/2017 13:34,15,13
434,BPXL744,"57 Rainsford Rd, Toronto, ON M4L 3N7",10/15/2017 11:02,15,11,43.67098,-79.30789,10/15/2017 13:34,15,13,BPXL744,"2 First Ave, Toronto, ON M4M 1W8",10/15/2017 14:24,15,14,43.66468,-79.35196,10/15/2017 15:25,15,15
435,BPXL744,"2 First Ave, Toronto, ON M4M 1W8",10/15/2017 14:24,15,14,43.66468,-79.35196,10/15/2017 15:25,15,15,BPXL744,"695 Queen St E, Toronto, ON M4M 1G6",10/15/2017 17:39,15,17,43.6581,-79.34963,10/15/2017 17:39,15,17
436,BPXL744,"695 Queen St E, Toronto, ON M4M 1G6",10/15/2017 17:39,15,17,43.6581,-79.34963,10/15/2017 17:39,15,17,BPXL744,Green P-15 Wellesley St. e(No Double Parking),10/15/2017 18:30,15,18,43.66484,-79.38359,10/15/2017 18:30,15,18
437,BPXL745,"26-32 Larch St, Toronto, ON M5T 3J7",10/15/2017 0:01,15,0,43.65253,-79.39682,10/15/2017 8:47,15,8,BPXL745,Green P-121 St Patrick St(No Double Parking),10/15/2017 10:17,15,10,43.65369,-79.38936,10/15/2017 15:19,15,15
438,BPXL745,Green P-121 St Patrick St(No Double Parking),10/15/2017 10:17,15,10,43.65369,-79.38936,10/15/2017 15:19,15,15,BPXL745,"1 Market St, Toronto, ON M5E 0A2",10/15/2017 16:00,15,16,43.64686,-79.37121,10/15/2017 18:30,15,18
439,BPXL747,"231 Emerson Ave, Toronto, ON M6H 3T7",10/15/2017 0:01,15,0,43.6668,-79.44395,10/15/2017 10:57,15,10,BPXL747,Green P-25 Dundas St E(no double parking),10/15/2017 12:18,15,12,43.656,-79.37993,10/15/2017 18:30,15,18
440,BPXL749,"CVPA - 49 Geary Ave(on street, 3 cars only)",10/15/2017 0:01,15,0,43.67093,-79.43184,10/15/2017 14:29,15,14,BPXL749,"124-130 Russett Ave, Toronto, ON M6H 3M3",10/15/2017 8:57,15,8,43.66334,-79.43806,10/15/2017 12:13,15,12
441,BPXL749,"124-130 Russett Ave, Toronto, ON M6H 3M3",10/15/2017 8:57,15,8,43.66334,-79.43806,10/15/2017 12:13,15,12,BPXL749,"320 Brunswick Ave, Toronto, ON M5R 2Y9",10/15/2017 15:19,15,15,43.66657,-79.40776,10/15/2017 18:30,15,18
442,BPXL750,"810 Dovercourt Rd, Toronto, ON M6H 2X3",10/15/2017 0:01,15,0,43.6632,-79.43011,10/15/2017 11:07,15,11,BPXL750,"709 Dovercourt Rd, Toronto, ON M6H 2W7",10/15/2017 12:28,15,12,43.6603,-79.42897,10/15/2017 13:34,15,13
443,BSAE682,Green P-25 Dundas St E(no double parking),10/15/2017 10:02,15,10,43.656,-79.37993,10/15/2017 18:30,15,18,BSAE682,"129 Apricot Ln, Toronto, ON M4E 1J6",10/15/2017 11:22,15,11,43.67176,-79.29431,10/15/2017 11:48,15,11
444,BSVZ845,"80 Lowther Ave, Toronto, ON M5R 1E1",10/15/2017 0:01,15,0,43.6698,-79.401,10/15/2017 0:16,15,0,BSVZ845,"40 Ford St, Toronto, ON M6N 3A1",10/15/2017 0:57,15,0,43.67178,-79.46165,10/15/2017 11:12,15,11
445,BSVZ845,"40 Ford St, Toronto, ON M6N 3A1",10/15/2017 0:57,15,0,43.67178,-79.46165,10/15/2017 11:12,15,11,BSVZ845,"1489 Dupont St, Toronto, ON M6P 3S2",10/15/2017 11:42,15,11,43.66586,-79.45044,10/15/2017 14:04,15,14
446,BSVZ845,"1489 Dupont St, Toronto, ON M6P 3S2",10/15/2017 11:42,15,11,43.66586,-79.45044,10/15/2017 14:04,15,14,BSVZ845,"143-151 Borden St, Toronto, ON M5S 2N2",10/15/2017 14:24,15,14,43.66182,-79.40707,10/15/2017 16:05,15,16
447,BSVZ845,"143-151 Borden St, Toronto, ON M5S 2N2",10/15/2017 14:24,15,14,43.66182,-79.40707,10/15/2017 16:05,15,16,BSVZ845,"133 Scadding Ave, Toronto, ON M5A",10/15/2017 16:40,15,16,43.64942,-79.36359,10/15/2017 17:02,15,17
448,BSVZ845,"133 Scadding Ave, Toronto, ON M5A",10/15/2017 16:40,15,16,43.64942,-79.36359,10/15/2017 17:02,15,17,BSVZ845,Green P-363 Adelaide St W(no double parking),10/15/2017 17:34,15,17,43.6466,-79.39477,10/15/2017 18:30,15,18
449,BTTE401,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 0:01,15,0,43.63779,-79.40155,10/15/2017 10:22,15,10,BTTE401,Green P-363 Adelaide St W(no double parking),10/15/2017 10:37,15,10,43.6466,-79.39477,10/15/2017 11:17,15,11
450,BTTE401,Green P-363 Adelaide St W(no double parking),10/15/2017 10:37,15,10,43.6466,-79.39477,10/15/2017 11:17,15,11,BTTE401,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 11:53,15,11,43.66373,-79.40103,10/15/2017 12:33,15,12
451,BTTE401,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 11:53,15,11,43.66373,-79.40103,10/15/2017 12:33,15,12,BTTE401,GreenP-1155 King st W(no double parking),10/15/2017 13:29,15,13,43.63778,-79.42401,10/15/2017 13:39,15,13
452,BTTE402,"501 Markham St, Toronto, ON M6G 2L1",10/15/2017 0:11,15,0,43.66114,-79.41087,10/15/2017 1:57,15,1,BTTE402,"108 Glenlake Ave, Toronto, ON M6P 1E4",10/15/2017 2:22,15,2,43.65888,-79.45885,10/15/2017 10:07,15,10
453,BTTE402,"108 Glenlake Ave, Toronto, ON M6P 1E4",10/15/2017 2:22,15,2,43.65888,-79.45885,10/15/2017 10:07,15,10,BTTE402,"144-170 Gore Vale Ave, Toronto, ON M6J 2R6",10/15/2017 11:48,15,11,43.64958,-79.41306,10/15/2017 13:24,15,13
454,BTTE402,"144-170 Gore Vale Ave, Toronto, ON M6J 2R6",10/15/2017 11:48,15,11,43.64958,-79.41306,10/15/2017 13:24,15,13,BTTE402,"121A Jefferson Ave, Toronto, ON M6K 3E4",10/15/2017 14:44,15,14,43.63935,-79.422,10/15/2017 14:59,15,14
455,BTTE402,"121A Jefferson Ave, Toronto, ON M6K 3E4",10/15/2017 14:44,15,14,43.63935,-79.422,10/15/2017 14:59,15,14,BTTE402,"483-487 Huron St, Toronto, ON M5R",10/15/2017 16:20,15,16,43.66873,-79.40209,10/15/2017 18:30,15,18
456,BTTE403,"1571 Dundas St E, Toronto, ON M4L 1K9",10/15/2017 0:01,15,0,43.6671,-79.32988,10/15/2017 16:35,15,16,BTTE403,"373 Parkside Dr, Toronto, ON M6R 2Z6",10/15/2017 17:34,15,17,43.64783,-79.45736,10/15/2017 18:30,15,18
457,BTTE404,"394 Sammon Ave, East York, ON M4J 2A8",10/15/2017 0:01,15,0,43.68744,-79.33224,10/15/2017 18:30,15,18,BTTE404,"102-114 Moberly Ave, Toronto, ON M4C 4B1",10/15/2017 15:45,15,15,43.68508,-79.31398,10/15/2017 15:45,15,15
458,BTTE405,"655 College St, Toronto, ON M6G 1B7",10/15/2017 0:01,15,0,43.65489,-79.41625,10/15/2017 2:07,15,2,BTTE405,Green P-25 Dundas St E(no double parking),10/15/2017 2:37,15,2,43.656,-79.37993,10/15/2017 11:27,15,11
459,BTTE405,Green P-25 Dundas St E(no double parking),10/15/2017 2:37,15,2,43.656,-79.37993,10/15/2017 11:27,15,11,BTTE405,Green P-35 Bellevue Ave(no double parking),10/15/2017 11:48,15,11,43.65418,-79.40318,10/15/2017 12:59,15,12
460,BTTE405,Green P-35 Bellevue Ave(no double parking),10/15/2017 11:48,15,11,43.65418,-79.40318,10/15/2017 12:59,15,12,BTTE405,"4 Curzon St, Toronto, ON M4M 3B3",10/15/2017 14:39,15,14,43.66335,-79.33163,10/15/2017 16:40,15,16
461,BTTE405,"4 Curzon St, Toronto, ON M4M 3B3",10/15/2017 14:39,15,14,43.66335,-79.33163,10/15/2017 16:40,15,16,BTTE405,"1901 B Dundas St E, Toronto, ON M4L 4N8",10/15/2017 17:29,15,17,43.66861,-79.31826,10/15/2017 17:49,15,17
462,BTTE405,"1901 B Dundas St E, Toronto, ON M4L 4N8",10/15/2017 17:29,15,17,43.66861,-79.31826,10/15/2017 17:49,15,17,BTTE405,"117 Gillard Ave, Toronto, ON M4J 4N7",10/15/2017 18:05,15,18,43.67958,-79.32705,10/15/2017 18:05,15,18
463,BTTE406,"413 Main St, East York, ON M4C 4Y1",10/15/2017 0:01,15,0,43.69263,-79.30376,10/15/2017 8:16,15,8,BTTE406,"107 Broadview Ave, Toronto, ON M4M 2E9",10/15/2017 9:02,15,9,43.65936,-79.34974,10/15/2017 10:07,15,10
464,BTTE406,"107 Broadview Ave, Toronto, ON M4M 2E9",10/15/2017 9:02,15,9,43.65936,-79.34974,10/15/2017 10:07,15,10,BTTE406,"724 A Queen St E, Toronto, ON M4M 1H2",10/15/2017 11:12,15,11,43.65953,-79.34938,10/15/2017 11:12,15,11
465,BTTE406,"724 A Queen St E, Toronto, ON M4M 1H2",10/15/2017 11:12,15,11,43.65953,-79.34938,10/15/2017 11:12,15,11,BTTE406,"81 Woodrow Ave, Toronto, ON M4C 1G6",10/15/2017 11:53,15,11,43.68255,-79.31974,10/15/2017 17:49,15,17
466,BTTE406,"81 Woodrow Ave, Toronto, ON M4C 1G6",10/15/2017 11:53,15,11,43.68255,-79.31974,10/15/2017 17:49,15,17,BTTE406,"1757 Danforth Ave, Toronto, ON M4C 1J1",10/15/2017 17:54,15,17,43.68409,-79.31975,10/15/2017 18:30,15,18
467,BTTE407,Starlight -155 Wellesley St E (rsvd spaces only),10/15/2017 11:27,15,11,43.66604,-79.37547,10/15/2017 16:15,15,16,BTTE407,On street-18 Emily St(extra parking in garage),10/15/2017 16:52,15,16,43.64659,-79.38511,10/15/2017 18:30,15,18
468,BTTE409,"1597-1599 Dundas St E, Toronto, ON M4L 1L1",10/15/2017 0:01,15,0,43.66733,-79.32896,10/15/2017 16:15,15,16,BTTE409,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 16:46,15,16,43.65218,-79.37617,10/15/2017 16:52,15,16
469,BTTE409,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 16:46,15,16,43.65218,-79.37617,10/15/2017 16:52,15,16,BTTE409,"155 Howland Ave, Toronto, ON M5R 1P3",10/15/2017 17:49,15,17,43.67074,-79.41064,10/15/2017 18:30,15,18
470,BTTE410,"2001 Danforth Ave, Toronto, ON M4C 1J7",10/15/2017 0:01,15,0,43.68523,-79.31456,10/15/2017 7:56,15,7,BTTE410,"309 Wolverleigh Blvd, Toronto, ON M4C 1S5",10/15/2017 8:01,15,8,43.68608,-79.3173,10/15/2017 8:11,15,8
471,BTTE410,"309 Wolverleigh Blvd, Toronto, ON M4C 1S5",10/15/2017 8:01,15,8,43.68608,-79.3173,10/15/2017 8:11,15,8,BTTE410,"11 Mendel Ave, Toronto, ON M4C 1E6",10/15/2017 8:21,15,8,43.68404,-79.31317,10/15/2017 9:57,15,9
472,BTTE410,"11 Mendel Ave, Toronto, ON M4C 1E6",10/15/2017 8:21,15,8,43.68404,-79.31317,10/15/2017 9:57,15,9,BTTE410,"487-493 Adelaide St W, Toronto, ON M5V 1T5",10/15/2017 10:27,15,10,43.64573,-79.40082,10/15/2017 10:32,15,10
473,BTTE410,"487-493 Adelaide St W, Toronto, ON M5V 1T5",10/15/2017 10:27,15,10,43.64573,-79.40082,10/15/2017 10:32,15,10,BTTE410,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 16:57,15,16,43.64599,-79.39985,10/15/2017 17:09,15,17
474,BTTE410,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 16:57,15,16,43.64599,-79.39985,10/15/2017 17:09,15,17,BTTE410,"165 Forman Ave, Toronto, ON M4S 2S1",10/15/2017 18:00,15,18,43.70466,-79.38433,10/15/2017 18:30,15,18
475,BTTE411,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 0:01,15,0,43.63779,-79.40155,10/15/2017 1:42,15,1,BTTE411,Green P-35 Erindale Ave(no double parking),10/15/2017 2:02,15,2,43.67732,-79.35747,10/15/2017 6:20,15,6
476,BTTE411,Green P-35 Erindale Ave(no double parking),10/15/2017 2:02,15,2,43.67732,-79.35747,10/15/2017 6:20,15,6,BTTE411,"19 Westmoreland Ave, Toronto, ON M6H 2Z6",10/15/2017 6:40,15,6,43.66174,-79.43074,10/15/2017 11:17,15,11
477,BTTE412,"Impark-22 Fort York(garage under sobeys, 5 spaces)",10/15/2017 0:01,15,0,43.64066,-79.39461,10/15/2017 9:22,15,9,BTTE412,"267 St Clarens Ave, Toronto, ON M6H 3W2",10/15/2017 12:39,15,12,43.6539,-79.43975,10/15/2017 13:19,15,13
478,BTTE412,"267 St Clarens Ave, Toronto, ON M6H 3W2",10/15/2017 12:39,15,12,43.6539,-79.43975,10/15/2017 13:19,15,13,BTTE412,"179 Carlaw Ave, Toronto, ON M4M 2R8",10/15/2017 14:49,15,14,43.66058,-79.33981,10/15/2017 15:35,15,15
