FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
1075,BNYB283,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 11:04,17,11,43.64456,-79.36971,10/17/2017 11:50,17,11,BNYB283,"Green P-31 Parliament St(surface lot, not garage)",10/17/2017 12:00,17,12,43.64955,-79.36169,10/17/2017 23:57,17,23
1076,BNYB284,"6-14 Dewhurst Blvd, Toronto, ON M4J",10/17/2017 11:20,17,11,43.68041,-79.33964,10/17/2017 11:20,17,11,BNYB284,"722 Pape Ave, Toronto, ON M4K 3S7",10/17/2017 19:39,17,19,43.67975,-79.34551,10/17/2017 20:05,17,20
1077,BNYB284,"722 Pape Ave, Toronto, ON M4K 3S7",10/17/2017 19:39,17,19,43.67975,-79.34551,10/17/2017 20:05,17,20,BNYB284,Green P-35 Erindale Ave(no double parking),10/17/2017 21:26,17,21,43.67732,-79.35747,10/17/2017 23:57,17,23
1078,BNYB292,"132 St Columba Pl, Toronto, ON M4B",10/17/2017 0:00,17,0,43.70534,-79.3103,10/17/2017 13:52,17,13,BNYB292,"122 Glencrest Blvd, East York, ON M4B 1L8",10/17/2017 14:37,17,14,43.7081,-79.29632,10/17/2017 23:57,17,23
1079,BNYB293,"25 Clarendon Ave, Toronto, ON M4V 1H8",10/17/2017 0:00,17,0,43.68293,-79.40239,10/17/2017 10:03,17,10,BNYB293,"6 Warren Rd, Toronto, ON M4V 2R5",10/17/2017 10:09,17,10,43.68302,-79.40527,10/17/2017 23:57,17,23
1080,BNYB294,"284-286 Grace St, Toronto, ON M6G 3A6",10/17/2017 0:00,17,0,43.65885,-79.41706,10/17/2017 7:09,17,7,BNYB294,Green P-363 Adelaide St W(no double parking),10/17/2017 7:34,17,7,43.6466,-79.39477,10/17/2017 16:38,17,16
1081,BNYB294,Green P-363 Adelaide St W(no double parking),10/17/2017 7:34,17,7,43.6466,-79.39477,10/17/2017 16:38,17,16,BNYB294,"11 St Bartholomew St, Toronto, ON M5A 1Y5",10/17/2017 17:38,17,17,43.65919,-79.3636,10/17/2017 18:28,17,18
1082,BNYB294,"11 St Bartholomew St, Toronto, ON M5A 1Y5",10/17/2017 17:38,17,17,43.65919,-79.3636,10/17/2017 18:28,17,18,BNYB294,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 18:38,17,18,43.66604,-79.37547,10/17/2017 19:29,17,19
1083,BNYB294,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 18:38,17,18,43.66604,-79.37547,10/17/2017 19:29,17,19,BNYB294,"1117 Danforth Ave, Toronto, ON M4J 1M5",10/17/2017 21:01,17,21,43.68102,-79.33417,10/17/2017 23:57,17,23
1084,BNYB296,"223 Osler St, Toronto, ON M6N 2Z2",10/17/2017 0:00,17,0,43.66975,-79.45923,10/17/2017 13:16,17,13,BNYB296,"75 Walmer Rd, Toronto, ON M5R 2X6",10/17/2017 13:52,17,13,43.67088,-79.40673,10/17/2017 16:43,17,16
1085,BNYB296,"75 Walmer Rd, Toronto, ON M5R 2X6",10/17/2017 13:52,17,13,43.67088,-79.40673,10/17/2017 16:43,17,16,BNYB296,"1-3 Gore Vale Ave, Toronto, ON M6J 1G3",10/17/2017 17:13,17,17,43.64582,-79.41149,10/17/2017 21:36,17,21
1086,BNYB296,"1-3 Gore Vale Ave, Toronto, ON M6J 1G3",10/17/2017 17:13,17,17,43.64582,-79.41149,10/17/2017 21:36,17,21,BNYB296,"1034 Queen St W, Toronto, ON M6J 1H7",10/17/2017 21:41,17,21,43.64392,-79.42032,10/17/2017 23:57,17,23
1087,BNYB303,UofT-42 Harbord St-car2go park signs (enter alley),10/17/2017 0:00,17,0,43.66373,-79.40103,10/17/2017 5:23,17,5,BNYB303,"23 Northridge Ave, East York, ON M4J 4P1",10/17/2017 6:04,17,6,43.6945,-79.33285,10/17/2017 8:50,17,8
1088,BNYB303,"23 Northridge Ave, East York, ON M4J 4P1",10/17/2017 6:04,17,6,43.6945,-79.33285,10/17/2017 8:50,17,8,BNYB303,"245 Glebemount Ave, East York, ON M4C 3T5",10/17/2017 9:10,17,9,43.69275,-79.32117,10/17/2017 10:59,17,10
