TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow
70,446.4005563,38.4,28880,0.003352149,0.207833255,0.107268777
71,9560,42.59936117,59454.80316,0.260722396,4.945577956,3.316062978
72,7280,38,64569,0.244427247,2.265025818,3.55234265
73,2685,37.5,58560,0.073328174,1.328054706,0.985856561
74,3840,43.3,68978,0.122213623,0,2.240583094
75,3775,41.9,41771,0.065180599,0.611068116,2.004303422
76,4190,40.1,39245,0.01629515,1.238431383,1.531744079
77,4349.584134,33.8,82950,0.004037432,4.643047203,0.155441145
78,3942.905263,33.8,82950,0.003659939,4.208930024,0.140907657
79,7364.10925,32.2,67193,0,7.013679061,0.066894958
80,4295.89075,32.2,67193,0,4.091465508,0.039023515
82,619.2576301,34.9,72619,0,0.601494545,0.013704939
83,1009.476059,34.9,72619,0,0.98051976,0.022340957
84,1814.244982,34.9,72619,0,1.762204302,0.04015149
85,1517.525795,34.9,72619,0,1.473996352,0.033584727
86,2494.560928,34.9,72619,0,2.423005738,0.055207726
87,1506.505937,34.9,72619,0,1.463292593,0.033340844
88,978.4286689,34.9,72619,0,0.950362948,0.021653839
89,12163.81565,36.17070366,60079.10362,0.047759254,10.14108482,1.897253567
90,13740,38.06750554,76525.19904,0.057033024,8.546806055,4.057492293
91,4570,39.7,69193,0.236279672,0,2.672404562
92,3455,39.7,77120,0.105918474,0.277017546,1.988008272
93,6290,40.38535625,69700.54909,0.179246647,0.38293602,4.318214689
94,5655,41.1,81440,0.391083595,0.130361198,3.21829208
95,4950,40,67584,0.635510841,0.008147575,2.688699712
96,4775,39.8,73728,0.260722396,0,3.022750283
97,4570,40.3,69274,0.171099073,0.0325903,2.998307558
98,3960,41.4,76800,0.114066048,0.171099073,2.509453065
99,8825,37,69241,0.138508773,4.530051636,2.876093935
100,3450,41.8,63808,0.146656348,0.114066048,2.13466462
101,5800,39.7,55360,0.293312696,1.515448929,2.631666688
102,2765,38.8,68198,0.138508773,0.122213623,1.898384948
103,3095,40.5,66261,0.301460271,0,1.841351924
104,4995,40.57281406,68550.63164,0.431821469,0,2.924979384
105,10990,39.2703542,53374.8195,0.627363266,2.86794636,4.147115617
106,7100,38.7,64614,0.244427247,0.814757489,3.837507771
107,5980,39.6,63520,0.211836947,0.659953566,3.55234265
108,3285,39.8,60343,0.154803923,0.171099073,1.841351924
109,7340,39.58119597,61541.70729,0.448116619,1.678400426,3.560490225
110,16431.18435,39.41458876,41494.10728,0.278143741,8.419090772,5.41926868
111,137.7337175,49.8,86699,0,0.076309313,0
112,276.4031111,49.8,86699,0,0.153137023,0
113,7220,41.42928252,76311.6123,0.71698659,0.529592368,3.617523249
114,4075,38.3,79616,0.309607846,0.676248716,2.004303422
115,5400,39.7,82645,0.871790513,0.285165121,2.615371538
116,6585,38.7,56634,0.521444793,2.509453065,2.248730668
